,text,l1,l2,l3,wiki_name,word_count
161057,"The Episcopal Diocese of Southwest Florida is a diocese of the Episcopal Church in the United States of America (ECUSA) in Florida which extends from Marco Island on the south, to Brooksville on the north, and inland to Plant City, Arcadia and LaBelle on the east. As part of the ECUSA, the diocese is a constituent member of the worldwide Anglican Communion. Major cities in the diocese are Tampa, St. Petersburg, Clearwater, Fort Myers, Sarasota, and Bradenton. The diocese includes the western half of Hendry County, the mainland portion of Monroe County, and all of the counties of Hernando, Pasco, Pinellas, Hillsborough, Manatee, Sarasota, DeSoto, Charlotte, Lee, and Collier. The diocese is a part of Province IV of the Episcopal Church, historically known as the Province of Sewanee.The current Diocesan Bishop of Southwest Florida is Dabney T. Smith. The cathedral church of the diocese is Cathedral Church of St. Peter in St. Petersburg. The diocesan offices are in Parrish, Florida. The diocese currently comprises 77 churches.",Place,ClericalAdministrativeRegion,Diocese,Episcopal_Diocese_of_Southwest_Florida,166
132520,"St Mary and St Peter's Church is located in the village of Barham near Ipswich. It is an active Anglican parish church in the deanery of Bosmere, part of the archdeaconry of Ipswich, and the Diocese of St Edmundsbury and Ipswich.",Place,Building,HistoricBuilding,"St_Mary_and_St_Peter's_Church,_Barham",41
145557,"Piz Ault is a mountain of the Glarus Alps, located south of the Oberalpstock in Switzerland. Three ridges lead to the peak with a fourth one not very distinct to the south. The frontier between the Canton of Uri and the Canton of Graubünden lies on the eastern and the northern ridge, making it a three-quarter Graubünden mountain. The municipalities are Disentis and Sedrun on the south and Silenen to the northeast. There is no path leading onto the peak for hikers. In winter time the area is accessible by a T-Bar ski lift which reaches up to some 200 meters under its peak in its southwestern face. The ski resort  is accessible from Disentis, lying south of Piz Ault in the State (Canton) of Graubünden.",Place,NaturalPlace,Mountain,Piz_Ault,126
138039,"Borealis Glacier is in North Cascades National Park in the U.S. state of Washington and is on the north slopes of Primus Peak. Borealis Glacier flows generally northeast for a distance of approximately .70 mi (1.13 km). Borealis Glacier descends from nearly 7,200 to 6,000 ft (2,200 to 1,800 m), but is split into an upper and lower sections. The upper section is as much as .90 mi (1.45 km) wide, but ends abruptly in an icefall along some cliffs. The lower section has been retreating significantly, and between 1990 and 2009 lost almost 250 m (820 ft) in length, creating a proglacial lake at the terminus.",Place,NaturalPlace,Glacier,Borealis_Glacier,107
103232,"Mobile Regional Airport (IATA: MOB, ICAO: KMOB, FAA LID: MOB) is a combined public/military airport 13 miles west of the city of Mobile, in Mobile County, Alabama. It is near Pascagoula, Mississippi. The airport is owned and operated by the Mobile Airport Authority,a self-funded entity that receives no local tax dollars. The National Plan of Integrated Airport Systems for 2011–2015 categorized it as a primary commercial service airport. Federal Aviation Administration records show the airport had 286,956 passenger boardings (enplanements) in calendar year 2008, 280,491 in 2009 and 277,232 in 2010. The airport is home to U.S. Coast Guard Aviation Training Center, Mobile, providing advanced training to U.S. Coast Guard pilots and aircrew in HH-65 Dolphin and HH-60 Jayhawk helicopters as well as HU-25 Guardian jets and HC-144 Ocean Sentry turboprop aircraft. The Alabama Army National Guard's 1st Battalion, 131st Aviation Regiment's \""B\"" Company is also located at the airport.",Place,Infrastructure,Airport,Mobile_Regional_Airport,150
140242,"Bishop Creek is also a dated variant of Baxter Creek in Richmond/El Cerrito, California Bishop Creek is a 10.1-mile-long (16.3 km) stream in Inyo County, California. It is the largest tributary of the Owens River. It has five hydroelectric plants owned by Southern California Edison, Bishop Creek #2–6. Bishop Creek #1 was never completed. Parts of the creek run through pipelines, or penstocks, to increase output at the power plants. Bishop Creek has three forks, North, Middle and South. All have their headwaters in the eastern Sierra Nevada, near the border with Fresno County. The forks all flow into lakes while still at high elevations. The North Fork flows into North Lake, the Middle Fork flows into Lake Sabrina. The North and Middle forks combine above and flow though the community of Aspendell and below it the combined creeks are dammed at Intake Two, a reservoir. The South Fork flows into South Lake and continues through the community of South Fork (aka Habbeger's) and then joins the Middle Fork below the Intake Two reservoir. Bishop Creek then begins its steep descent to the Owens Valley. The creek runs roughly North then Northeast and then continues East, flowing past the city of Bishop before its confluence with the Owens River. The creek was named after Owens Valley settler Samuel Addison Bishop.",Place,Stream,River,Bishop_Creek_(Inyo_County),220
103219,"Split Airport (IATA: SPU, ICAO: LDSP; Croatian: Zračna luka Split), also known as Resnik Airport (Zračna luka Resnik), is the international airport serving the city of Split, Croatia. It is located 24 km (15 mi) from Split, on the west side of Kaštela Bay, in the town of Kaštela, and extending into the adjacent town of Trogir. In 2015, the airport was the second busiest in Croatia after Zagreb Airport handling 1,955,400 passengers that year. It is an important hub for Croatia Airlines offering flights to European cities, such as Athens, Frankfurt, London, Paris, and many others.",Place,Infrastructure,Airport,Split_Airport,97
103755,Sinam Station is a railway station on Gyeongbu Line in South Korea.,Place,Station,RailwayStation,Sinam_Station,12
139888,"The River Tillingbourne (also known as the Tilling Bourne) runs along the south side of the North Downs and joins the River Wey at Guildford. Its source is near Tilling Springs to the north of Leith Hill at grid reference TQ143437 and it runs through Friday Street, Abinger Hammer, Gomshall, Shere, Albury, Chilworth and Shalford. The source is a semi-natural uninhabited area. The catchment is situated on sandstone which has a low rate of weathering. The Tillingbourne is 18 km (11 mi) in length. The Tillingbourne initially flows northward for 4 km (2.5 mi) down the northern slopes of Leith Hill over a series of weirs and cascades, before turning west to run for 14 km (8.7 mi) through Abinger Hammer and Chilworth towards the River Wey at Shalford. The river is classified as a subsequent stream, since its course is determined by the direction of the stratum of softer rock for the majority of its length. The river has four principal tributaries: the Friday Street stream joins at Wootton House; the Holmbury St Mary stream joins at Abinger Hammer; the Sherbourne Brook drains the Silent Pool and Sherbourne Pond and the Law Brook joins near Postford. The river used to power a number of gunpowder, paper and flour mills in the area. The gunpowder mill was at Chilworth. Present day users include a trout farm, watercress beds,a business growing reeds and is often studied by students from nearby field studies centres, such as Sayers Croft and Juniper Hall. The river passes through the Albury estate at: Albury Park, Weston fishery, Vale End fishery and Powder Mills fishery. The rivers course has been diverted slightly here for the purpose of the estate. The River Tillingbourne supports a healthy fish population of both wild brown trout and coarse fish. The Environment Agency has been working with local fishermen to improve the habitat for these fish by recreating a pool and riffle habitat and by cutting back overhanging vegetation. The river was championed by the Victorian landscapist Lewis Pinhorn Wood, who lived in Shere from 1884 to 1897, and painted extensively along its banks with scenes including The Silent Pool, Twilight (1888) and Evening on the Tillingbourne (1889).",Place,Stream,River,River_Tillingbourne,366
120808,"HM Prison Hollesley Bay, known locally as Hollesley Bay Colony (to which signposts still point) or simply The Colony, is a Category D men's prison and Young Offenders Institution, located in the village of Hollesley, about 8 miles (13 km) from the town of Woodbridge in Suffolk, England. The prison is operated by Her Majesty's Prison Service.",Place,Building,Prison,HM_Prison_Hollesley_Bay,57
135832,"Heeze Castle (Dutch: Kasteel Heeze) is situated in the Netherlands, south of Eindhoven. It used to be the centre of the seigneury of Heeze, Leende and Zesgehuchten, part of the Duchy of Brabant. In the Middle Ages, it was owned by the de Horne family. In the seventeenth Century Pieter Post designed a new castle, of which the first part was built in 1665. Pieter Post had died and the work was completed by his son Maurits Post. Due to the rising costs of importing all building materials from other regions of the country, the build of the Post design was halted early and never finished. For this reason, the part of the castle that is used by the current owners was actually meant to be the servants' quarters. The biggest part of the castle was to be built behind the first courtyard. In 1760 the castle was bought by Jan Maximiliaan van Tuyll van Serooskerken. The Van Tuyll van Serooskerken family has lived in the castle ever since.",Place,Building,Castle,Heeze_Castle,169
102821,"Osceola Municipal Airport (FAA LID: 23MU) is a city-owned, public-use airport located two miles (3 km) south of the central business district of Osceola, a city in St. Clair County, Missouri, United States.",Place,Infrastructure,Airport,Osceola_Municipal_Airport_(Missouri),33
137033,"Willow Creek Pass is a mountain pass on the border between Lincoln and Sanders Counties in the U.S. state of Montana. Located at 47°53′27″N 115°17′1″W﻿ / ﻿47.89083°N 115.28361°W (47.8907736, -115.2834951), its elevation is 3,707 feet (1,130 m). The pass is near the head of Willow Creek. The pass is approximately 18.8 miles (30¾ km) from Thompson Falls and near the community of Sanders. The pass is also on the boundary between Kaniksu National Forest on the south and Kootenai National Forest on the north. Forest Road 7160 crosses the pass, which is just east of Moose Peak (6,010 feet). US Forest Service campgrounds are found on both sides of the pass. Willow Creek, which heads near the pass, is a tributary of the Vermillion River, itself a tributary of the Clark Fork River.",Place,NaturalPlace,MountainPass,Willow_Creek_Pass_(Montana),133
103451,"Gwanggyo (Kyonggi Univ.) Station is a metro station located in Gwanggyo, Yeongtong-gu, Suwon, Gyeonggi-do, South Korea. It is the only overground station in the line and built on the train depot. The station is located directly in front of Kyonggi University and has many shops, restaurants and bars catering for university students around it.",Place,Station,RailwayStation,Gwanggyo_Station,54
111983,"The Humen Pearl River Bridge (simplified Chinese: 虎门大桥; traditional Chinese: 虎門大橋; pinyin: Hǔmén Dàqiáo; Jyutping: Fu2mun4 Dai6kiu4) is a bridge over the Humen, Pearl River in Guangdong Province, southern China. It consists of two main spans - a suspension bridge section and a segmental concrete section. It connects the Nansha District of Guangzhou to Humen Town of Dongguan. Completed in 1997, the suspension bridge has a main span of 888 meters, and the segmental concrete section's main span of 237 meters is among the longest such spans in the world. It forms part of the G9411 Dongguan–Foshan Expressway. A newer bridge known as Humen Erqiao (Chinese:虎门二桥), built to reduce the traffic problems on the Humen Bridge, is under construction.",Place,RouteOfTransportation,Bridge,Humen_Pearl_River_Bridge,119
151952,"BIRD (Bispectral and Infrared Remote Detection) is a satellite launched by ISRO in 2001 for DLR. This small (92 kg) boxlike system, with solar panel two collectors on stub wings, has remarkable fire-detection qualities. It hosts a two-channel infrared sensor system in combination with a Wide-Angle Optoelectronic Stereo Scanner (WAOSS). It also features a neuronal network classificator in orbit to reduce downlink bandwidth and cost. The unique combination of a stereo camera and two infrared cameras gives the opportunity to acquire: \n*  More precise information about leaf mass and photosynthesis for the early diagnosis of vegetation condition and changes \n*  Real time discrimination between smoke and water clouds The attitude&control system of the BIRD satellite was reused in the TET-1 satellite.",Place,Satellite,ArtificialSatellite,BIRD_(satellite),121
129097,"Dal Pescatore is a restaurant in Canneto sull'Oglio, Italy south of the city of Mantua. The chefs are Nadia Santini, Giovanni Santini, and Bruna Santini. The restaurant was voted 48th best in the world in the Restaurant Top Fifty of 2009. It also has three Michelin stars. The restaurant is notable for its tortelli stuffed with pumpkin, amaretto, Parmesan, and mostarda.",Place,Building,Restaurant,Dal_Pescatore,61
141453,"The Papakanui River is a river of the Auckland Region of New Zealand's North Island. This short wide river forms part of the lower Kaipara Harbour system, adding its waters to the harbour close to the settlement of Tauhoa.",Place,Stream,River,Papakanui_River,39
158418,"Layar (Persian: لايار‎‎, also Romanized as Lāyār) is a village in Karkas Rural District, in the Central District of Natanz County, Isfahan Province, Iran. At the 2006 census, its existence was noted, but its population was not reported.",Place,Settlement,Village,"Layar,_Iran",38
139313,"The Barcoo River in western Queensland, Australia rises on the northern slopes of the Warrego Range, flows in a south westerly direction and unites with the Thomson River to form Cooper Creek. The first European to see the river was Thomas Mitchell in 1846, who named it Victoria River, believing it to be the same river as that named Victoria River by J C Wickham in 1839. It was renamed by Edmund Kennedy after a name supplied by local Aborigines. The waters of the river flow towards Lake Eyre in central Australia while those of rivers further east join the Murray-Darling basin and reach the sea in South Australia. The river forms a boundary between outback Australia and the \""Far Outback\""; legend has it that west of the Barcoo there is very little in the way of civilisation. Tributaries include the Alice River, Torrens, Landsborough and Towerhill Creeks. Towns situated on the banks of the Barcoo River include Blackall, Isisford, Tambo and Retreat. The southern boundary of Welford National Park is marked by the Barcoo River and Isisford Weir has been constructed on the Barcoo.",Place,Stream,River,Barcoo_River,185
136863,"Dalaffilla, also called Gabuli,or Alu-Dalafilla is a 578 m (1,896 ft) high stratovolcano in Ethiopia. It is the highest point of Gulina. The only recorded eruption of Dalaffilla occurred in 2008 when lava flows from its western and northwestern flanks traveled to the northeast.",Place,NaturalPlace,Volcano,Dalaffilla,44
139606,"(For other uses, see River Calder (disambiguation).) The Calder River is a river in the Kimberley region of Western Australia. The river rises in the Elizabeth and Catherine Range and flows in a southerly direction eventually veering west along the northern edge of the Munja Aboriginal Reserve and discharging into the Indian Ocean via Walcott Inlet. There are five tributaries to the Calder River; Tims Creek, Red Bull Creek, Bachsten Creek, Neville Creek and Brockman River. Europeans first discovered the river in 1901 when the surveyor Frederick Slade Drake-Brockman came across the river while on an expedition in the area close to the river's mouth. Brockman named the river after John Calder, the leader of a prospecting party that was in area at the same time.",Place,Stream,River,Calder_River_(Western_Australia),126
137343,"Olifantskop Pass, (English: Elephant's Head), is situated in the Eastern Cape province of South Africa. It carries three to four lanes of road traffic on the N10 national road over the Suurberg mountains between Paterson and Cookhouse.",Place,NaturalPlace,MountainPass,Olifantskop_Pass,37
105779,"Crown Street is a 2.3-kilometre (1.4 mi) street in the inner Sydney suburbs of Woolloomooloo, East Sydney, Darlinghurst and Surry Hills, in New South Wales, Australia. The Surry Hills section is lined with restaurants and shops and includes the Crown Street Public School, the Surry Hills Library and Community Centre, and the White Horse Hotel. Traffic volumes vary, depending on the segment of Crown Street. South of William Street in East Sydney, the average traffic movements in 2016 for north-bound vehicles was 5,690; while the movements for south-bound vehicles was 4,136.",Place,RouteOfTransportation,Road,"Crown_Street,_Sydney",91
123362,"Memorial Hermann–Texas Medical Center is a nationally ranked hospital at the Texas Medical Center. It is the first hospital founded in the Texas Medical Center in Houston, Texas (and its founding actually predates the Texas Medical Center). Founded in 1925, it is the primary teaching hospital for The University of Texas Medical School at Houston (UTHealth), and the flagship location of 13 hospitals in the Memorial Hermann Healthcare System. It is one of two certified Level I Trauma Centers in the greater Houston area. The Memorial Hermann Life Flight air ambulance service operates its fleet of helicopters from Memorial Hermann–Texas Medical Center. The hospital has 33,614 admissions and performs 14,937 inpatient and 3,972 outpatient surgeries.",Place,Building,Hospital,Memorial_Hermann–Texas_Medical_Center,115
120277,"State Correctional Institution – Cresson was a medium-security, all male correctional facility, located off U.S. Route 22, about 10 miles west of Altoona along Old Route 22 in the Western part of the commonwealth of Pennsylvania. On April 17, 2012 a SCI-Pine Grove van crashed near Hollidaysburg, PA while carrying 10 inmates and 2 correctional officers. No inmates escaped and several were treated for minor injuries at a local hospital. On January 8, 2013 state officials announced the prison would be closed. The prison closed June 30, 2013 and the land was put up for sale by the state.",Place,Building,Prison,State_Correctional_Institution_–_Cresson,99
108039,"State Route 42 (SR 42) is a 115.3-mile-long (185.6 km) state highway that runs southeast-to-northwest through portions of Peach, Crawford, Monroe, Butts, Henry, Clayton, and DeKalb counties in the central and north-central parts of the U.S. state of Georgia. The route connects Byron with the Atlanta metropolitan area, via McDonough, Stockbridge, and Forest Park.",Place,RouteOfTransportation,Road,Georgia_State_Route_42,54
131522,"Abreeza Mall is a large shopping mall complex located at J.P. Laurel Avenue, Bajada in Davao City, Philippines. It is the first Ayala Shopping Center located in Mindanao. It opened on May 12, 2011. It is owned by Accendo Commercial Corporation, a joint venture company of Ayala Land and Anflocor. The 3-storey mall lies within a 4-hectare space of the 10-hectare commercial complex. Also in the same complex stands a 4-storey Robinson's Mall. At least three hectares of the entire property will be sold for residential or commercial purposes, including a hotel and residential condominium projects Abreeza Residences and Abreeza Place.",Place,Building,ShoppingMall,Abreeza,101
151902,"Meridian 5 (Russian: Меридиан-5), also known as Meridian No.15L, was a communications satellite launched by the Russian Federal Space Agency which was lost in a launch failure in December 2011. The fifth Meridian spacecraft to be launched, Meridian 5 was to have been deployed into a Molniya orbit with an apogee of 39,000 kilometres (24,000 mi), a perigee of 900 kilometres (560 mi) and 65 degrees of orbital inclination; from which it would have provided communications for the Russian military. It would have been operated by the newly formed Russian Aerospace Defence Forces. Meridian 5 was launched on a Soyuz-2.1b rocket with a Fregat upper stage, from Site 43/4 at the Plesetsk Cosmodrome. The launch took place at 12:08 UTC on 23 December 2011, with the rocket performing nominally during first and second stage flight. At 288 seconds after launch, the Blok I third stage's RD-0124 engine ignited to begin its burn. During third stage flight, an anomaly occurred which prevented the rocket from reaching orbit. An official spokesman stated that the launch had been terminated 421 seconds into flight, by means of the rocket's thrust termination system. Telemetry recorded by NPO Lavochkin, however, indicated that the rocket had veered off course 425 seconds after launch, with data suggesting that there had been an explosion. Another report indicated that the engine had lost thrust 427 seconds after launch. It was the first orbital launch to be conducted by the Aerospace Defence Forces, which had been formed at the beginning of the month. Debris from the launch fell over the Novosibirsk Oblast in Siberia, near Ordynsk. One piece of debris fell through the roof of a house in Cosmonaut Street in the village of Vagaitsevo. Despite debris falling in residential areas, no injuries were reported.",Place,Satellite,ArtificialSatellite,Meridian_5,294
117550,"Ōita Stadium is a multi-purpose stadium in the city of Ōita in Ōita Prefecture on Kyushu Island in Japan. The stadium is currently called Ōita Bank Dome (大分銀行ドーム Ōita Ginkō Dōmu), or Daigin Dome (大銀ドーム Daigin Dōmu) as an abbreviated form, by naming rights. It was formerly called as Kyushu Oil Dome (九州石油ドーム Kyūshū Sekiyu Dōmu) sponsored by the Kyushu Oil Co. until early 2010. It is primarily used for football, and is the home field of J. League club Oita Trinita. It was designed by the famous architect Kisho Kurokawa, and built by KT Group, Takenaka Corporation.",Place,SportFacility,Stadium,Ōita_Bank_Dome,98
127017,"The Hilton Brighton Metropole is a 4-star hotel and conference centre located on the seafront in Brighton, East Sussex. The architect was Alfred Waterhouse, who also was architect of University College London and the Natural History Museum. Currently the UK's largest residential conference centre, it was built in 1890 and has 340 bedrooms. Since 2000, it has been operated by Hilton Hotels & Resorts (previously it operated under the Stakis brand), and previously owned by The Royal Bank of Scotland, its freehold is now owned by the Topland Group.",Place,Building,Hotel,Hilton_Brighton_Metropole,89
123159,"Cancer Treatment Centers of America (CTCA), headquartered in Boca Raton, Florida, is a national, for-profit network of five hospitals that serves cancer patients throughout the United States. CTCA follows an integrative approach to cancer care that uses conventional approaches like surgery, chemotherapy, radiation and immunotherapy to treat the cancer, while also offering integrative therapies to help manage side effects like pain, nausea, fatigue, lymphedema, malnutrition, depression and anxiety. CTCA was headquartered in Schaumburg, Illinois. In January 2015, the corporate office was moved to Boca Raton, Florida, and was renamed Cancer Treatment Centers of America Global, Inc.",Place,Building,Hospital,Cancer_Treatment_Centers_of_America,96
97715,"Stavernsodden Lighthouse (Norwegian: Stavernsodden fyr) is a coastal lighthouse in the municipality of Larvik in Vestfold, Norway. It was first lit in 1855, and was automated in 1984. The lighthouse was listed as a protected site in 1997.",Place,Tower,Lighthouse,Stavernsodden_Lighthouse,38
154251,"1368 Numidia (1935 HD) is a main-belt asteroid discovered on April 30, 1935, by C. Jackson at Johannesburg (UO).",Place,CelestialBody,Planet,1368_Numidia,19
142639,"Cuciurgan Reservoir (Kuchurhan in Ukrainian; Kuchurgan in Russian) is a large water reservoir, built on Cuciurgan River on the state border between Ukraine and Transnistria. The lake is located in the south-eastern part of Transnistria, on the border with the Odessa Oblast of Ukraine and its water resources are shared between the two countries. It was created by damming the Kuchurhan River just north of where it flows into the Dniester. The reservoir is 20 km long and has a width of 3 km at the side of the dam. It has a total water surface area of 27.2 square kilometers. Before construction of the dam, there was already a liman in the southern part of the Kuchurhan river valley. Lake Cuciurgani is a popular resort area for the inhabitants of nearby Tiraspol, the capital of Transnistria. The fossil fuel burning power station at Dnestrovsc utilizes water from the reservoir. There is no hydroelectric power plant associated with the dam.",Place,BodyOfWater,Lake,Cuciurgan_Reservoir,160
